Resumen,Tipo de Incidencia,Descripción,Prioridad,Etiquetas,Clave del padre,id del padre,Estado
T-4.4 Crear endpoint GET documents payment-status,Subtarea,"Retorna total, paid_amount, pending_amount.",Medium,tesoreria,AS-281,26767,❌ Pendiente
T-4.5 Crear endpoint POST documents pay,Subtarea,"Pago rápido desde documento.",Medium,tesoreria,AS-281,26767,❌ Pendiente
T-4.6 Crear endpoint GET documents unpaid,Subtarea,"Lista documentos con saldo pendiente.",Medium,tesoreria,AS-281,26767,❌ Pendiente
T-4.7 Crear CreateCheckDto,Subtarea,"DTO para cheques.",Medium,tesoreria,AS-281,26767,❌ Pendiente
T-4.8 Crear ChecksService,Subtarea,"Service con create, clear, bounce, confirm, reject.",High,tesoreria,AS-281,26767,❌ Pendiente
T-4.9 Crear ChecksController,Subtarea,"Controller con endpoints de cheques.",High,tesoreria,AS-281,26767,❌ Pendiente
T-4.10 Crear ChecksModule,Subtarea,"@Module con PrismaModule.",Medium,tesoreria,AS-281,26767,❌ Pendiente
T-5.1 Crear CheckNotificationScheduler,Subtarea,"Scheduler 9AM para notificar cheques.",Medium,tesoreria,AS-282,26768,❌ Pendiente
T-5.2 Crear CheckProcessingScheduler,Subtarea,"Scheduler 10AM para procesar cheques.",Medium,tesoreria,AS-282,26768,❌ Pendiente
T-5.3 Implementar logica procesamiento cheques,Subtarea,"Transacción con bank_account_movements.",High,tesoreria,AS-282,26768,❌ Pendiente
T-5.4 Crear CurrentAccountsService,Subtarea,"Service con findByParty, getBalance, addEntry, getEntries, getStatement.",High,tesoreria,AS-282,26768,✅
T-5.5 Crear CurrentAccountsController,Subtarea,"Controller con 5 endpoints.",High,tesoreria,AS-282,26768,✅
T-5.6 Crear CreateCurrentAccountEntryDto,Subtarea,"DTO con party_id, currency_code, type, amount.",Medium,tesoreria,AS-282,26768,✅
T-5.7 Crear CurrentAccountsModule,Subtarea,"@Module con PrismaModule.",Medium,tesoreria,AS-282,26768,✅
T-6.1 Crear CreateCreditCardDto,Subtarea,"DTO para tarjetas de crédito.",Medium,tesoreria,AS-283,26769,❌ Pendiente
T-6.2 Crear CreditCardsService,Subtarea,"Service con CRUD + transacciones + resúmenes.",High,tesoreria,AS-283,26769,❌ Pendiente
T-6.3 Crear CreditCardsController y Module,Subtarea,"Controller + Module.",High,tesoreria,AS-283,26769,❌ Pendiente
T-7.1 Crear CreateCreditCardTransactionDto,Subtarea,"DTO para transacciones de tarjeta.",Medium,tesoreria,AS-284,26770,❌ Pendiente
T-7.2 Crear CreditCardTransactionsService,Subtarea,"Service con create + comisión + clearing.",High,tesoreria,AS-284,26770,❌ Pendiente
T-7.3 Crear CreditCardTransactionsController,Subtarea,"Controller con endpoints.",High,tesoreria,AS-284,26770,❌ Pendiente
T-7.4 Crear CreditCardInstallmentsService,Subtarea,"Service con cuotas.",Medium,tesoreria,AS-284,26770,❌ Pendiente
T-7.5 Crear CreditCardSummariesService,Subtarea,"Service con resúmenes mensuales.",Medium,tesoreria,AS-284,26770,❌ Pendiente
T-7.6 Crear CreditCardSummariesController,Subtarea,"Controller con endpoints.",Medium,tesoreria,AS-284,26770,❌ Pendiente
T-7.7 Crear CreditCardClearingScheduler,Subtarea,"Scheduler 8AM para clearing.",Medium,tesoreria,AS-284,26770,❌ Pendiente
T-7.8 Crear CreateCashBoxTransferDto,Subtarea,"DTO para transferencias entre cajas.",High,tesoreria,AS-284,26770,✅
T-7.9 Crear CashBoxTransfersService,Subtarea,"Service con create + validación fondos + ejecución.",High,tesoreria,AS-284,26770,✅
T-7.10 Crear CashBoxTransfersController,Subtarea,"Controller con CRUD + confirm + cancel.",High,tesoreria,AS-284,26770,✅
T-7.11 Crear TransferHelper,Subtarea,"Clase estática con helpers.",Medium,tesoreria,AS-284,26770,❌ Pendiente
T-8.1 Actualizar CloseCashBoxDto,Subtarea,"Agregar auto_transfer fields.",High,tesoreria,AS-285,26771,✅ (integrado en CashBoxesService)
T-8.2 Crear CashBoxClosureService,Subtarea,"Service con cierre + transferencia automática.",High,tesoreria,AS-285,26771,✅ (integrado en CashBoxesService)
T-8.3 Integrar cierre con transferencia en controller,Subtarea,"Modificar endpoint close.",High,tesoreria,AS-285,26771,✅
T-8.4 Validacion is_main unica por empresa,Subtarea,"Desmarcar otras cajas al marcar is_main.",Medium,tesoreria,AS-285,26771,✅
T-8.5 Crear endpoint GET cash-boxes main,Subtarea,"Busca caja principal.",Medium,tesoreria,AS-285,26771,✅
T-8.6 Definir permisos RBAC seed,Subtarea,"Permisos para todos los módulos.",High,tesoreria,AS-285,26771,❌ Pendiente
T-8.7 Asignar permisos por rol,Subtarea,"4 roles con permisos.",Medium,tesoreria,AS-285,26771,❌ Pendiente
T-8.8 Crear TesoreriaModule,Subtarea,"Módulo paraguas.",Medium,tesoreria,AS-285,26771,✅
T-8.9 Importar TesoreriaModule en ModulesModule,Subtarea,"Registrar en modules.module.ts.",Medium,tesoreria,AS-285,26771,✅
T-9.1 Crear Tests unitarios services,Subtarea,"Tests para todos los services.",Medium,tesoreria,AS-286,26772,❌ Pendiente
T-9.2 Crear Tests unitarios guards,Subtarea,"Tests para guards.",Medium,tesoreria,AS-286,26772,❌ Pendiente
T-10.1 Verificar CRUDs funcionando,Subtarea,"Probar manualmente todos los CRUDs.",Medium,tesoreria,AS-287,26773,❌ Pendiente
T-10.2 Verificar flujos de negocio,Subtarea,"Probar flujos completos.",Medium,tesoreria,AS-287,26773,❌ Pendiente
T-10.3 Verificar multi-tenancy,Subtarea,"Verificar schema, auditoría, permisos.",Medium,tesoreria,AS-287,26773,❌ Pendiente
